Symbol,Name,Open,Last,"Prev Open",Previous,"Open 2D Ago","Last 2D Ago","1M MA","1M High","1M Low",Volume,"Prev Vol","5D Avg Vol","1M Avg Vol"
BIIB,"Biogen Inc",282.43,280.01,284.85,280.63,292.99,289.02,280.67,293.34,265.05,843200,853000,897300,1060545
BIO,"Bio-Rad Laboratories",556.97,556.57,552.9,552.61,566.23,557.39,530.55,573.79,490.73,165666,98000,123020,147259
BK,"Bank of New York Mellon Corp",38.18,38.02,36.27,37.23,36.88,36.59,35.37,38.75,32.65,7351541,8070400,6303020,5260595
BKNG,"Booking Holdings Inc",1704,1667.87,1700,1702.11,1783.38,1732.6,1720.05,1866,1601.01,416200,321600,367560,357927
BKR,"Baker Hughes A Ge CO Cl A",13.33,13.14,12.89,13.45,12.87,13.15,13.43,15.61,12.13,7910082,7062700,7111680,6307491
BLL,"Ball Corp",91.41,91.42,88.97,90.81,90.61,90.06,85.08,91.99,78.58,1135855,1075600,1143440,1499382
BMRN,"Biomarin Pharmaceuticals",77.89,79.25,77.64,77.67,79.91,78.79,77.81,80.94,73.8,1890300,1279100,1284260,1789023
BMY,"Bristol-Myers Squibb Company",60.67,61.24,60.59,60.42,61.11,61,59.85,62.29,56.9,9385613,13105200,10244080,10971164
BR,"Broadridge Financial Solutions Llc",143.72,143.34,140.7,143.27,142.04,141.7,135.48,145.14,126.77,381617,419200,406720,482059
BRK.B,"Berkshire Hathaway Cl B",211.84,211.91,209.27,211.65,212.02,210.91,212.83,221.01,206.58,3630992,3063800,4094940,4926336
BSX,"Boston Scientific Corp",39,38.44,40.12,39,40.77,40.62,39.08,42.13,36.8,18559601,15112199,12259920,8458041
BWA,"Borgwarner Inc",39.53,38.69,38.01,39.21,39.38,38.56,38.87,42.24,36.34,1909767,2210700,2129480,3497577
BXP,"Boston Properties",79.16,77.67,79,79.5,79.76,79.61,81.84,89.91,77.24,1109417,725100,1010340,1269568
C,"Citigroup Inc",43.68,43.19,42.54,43.61,43.52,43.03,43.77,46.12,41.29,26007087,26408000,31336979,27505877
CAG,"Conagra Brands Inc",37.85,37.91,37.41,37.79,38.03,37.69,36.26,38.42,33.65,1799788,1773600,2015780,2957559
CAH,"Cardinal Health",48.89,48.79,47.74,48.92,48,48.37,47.33,49.35,44.65,1284587,1180100,1219960,2197259
CAR,"Avis Budget Group",30.59,31.95,29.3,30.6,29.88,29.85,29.27,33.09,25.54,1726800,994800,1471440,2066800
CARR,"Carrier Global Corp [Carr/I]",32.92,32.76,32.09,32.6,32.68,32.51,31.26,33.47,28.79,3722984,2692100,3339200,4049741
CAT,"Caterpillar Inc",167.25,168.75,160.27,165.04,162.66,163.61,153.3,170.51,142.73,5571018,2958900,4043260,3152668
CB,"Chubb Ltd",120.17,119.26,117.04,120.16,118.69,118.56,117.51,123.86,111.93,1249442,1414400,1387720,1667718
CBOE,"CBOE Global Markets Inc",85.3,83.9,83.58,83.75,84.37,84.58,87.19,91.65,83.58,1333975,1117000,1053900,919050
CBRE,"CBRE Group Inc",48.99,48.61,48.49,49.04,49.11,49.02,48.05,51.58,44.59,1423457,1212100,1192760,1486973
CCI,"Crown Castle International Corp",167.04,166.9,164.16,168.14,167.17,165.03,164.2,169.31,155.01,1171730,1046800,1269500,1774541
CCL,"Carnival Corp",14.05,14.08,13.72,14.02,14.33,13.97,14.89,16.51,13.4,39528633,29283500,35717602,35738391
CDNS,"Cadence Design Sys",116.87,115.69,115,115.96,117,116.97,107.57,118.22,97.45,1169000,1458200,1391820,1549027
CDW,"CDW Corp",130.75,130.62,127.58,129.8,130.38,129.52,120.75,131.76,105.87,393900,473900,565220,799836
CE,"Celanese Corp",120.01,120.1,116.9,119.5,116.67,118.5,112.16,120.67,103.3,723501,538600,621960,735009
CERN,"Cerner Corp",73.95,74.63,73.23,73.76,73.75,74.23,71.42,75.24,66.75,1549500,1109300,1405940,1407059
CF,"Cf Industries Holdings",29.78,29.28,29.38,29.66,29.3,29.81,30.92,35.63,29.06,1736454,1166500,2171580,2215200
CFG,"Citizens Financial Group Inc/Ri",27,26.61,27.24,27.9,28.18,27.58,26.46,28.87,23.46,9017567,9333600,6515960,5101854
CHD,"Church & Dwight Company",95.11,93.19,93.93,95.1,95.32,94.47,92.35,96.31,88.64,3391202,1398900,1762960,1487127
CHKP,"Check Point Software",127.63,126.62,126.59,127.67,127.7,128.03,121.88,128.87,114.89,1097400,790300,802460,860182
CHRW,"C.H. Robinson Ww",103.9,100.23,104.21,105.12,105.14,104.82,103.31,106.75,99,1926400,880000,1114900,1203455
CHTR,"Charter Communicatio",638.87,633.92,631.87,636.89,651.67,638.62,628.35,663.7,606.11,772800,825800,942120,1042354
CI,"Cigna Corp",176.7,177.9,172.16,176.82,174.69,174.49,169.77,179.39,158.84,1485763,1350000,1304180,1791255
CINF,"Cincinnati Financial",79.04,78.58,77.83,78.82,79.64,78.77,78.29,82.79,73.79,539200,613100,516680,770105
CL,"Colgate-Palmolive Company",80.12,80.31,79.42,79.71,80.44,79.86,77.66,80.99,74.35,2963577,3375800,2854640,2906168
CLX,"Clorox Company",216,214.99,218.01,218.37,221.17,218.93,212.67,223.36,204.61,1373895,859600,1024720,1178709
CMA,"Comerica Inc",41.81,41.69,40.08,41.77,41.15,40.59,39.95,43.82,35.76,1578168,1001700,1226280,1414259
CMCSA,"Comcast Corp A",45.22,45.56,45.03,45.11,45.8,45.28,45.59,47.07,43.41,13361899,12904899,14993619,19370445
CME,"CME Group Inc",167.58,167.99,164.93,167.09,167.89,166.7,167.84,172.49,161.65,1006300,1339600,1129780,1452600
CMG,"Chipotle Mexican Grill",1348.88,1339.68,1306.15,1343.25,1330.17,1321.37,1264.81,1356.75,1180,297575,262100,289940,317895
CMI,"Cummins Inc",224.39,222.8,219.26,222.45,222,221.77,214.14,227.15,199.7,1227869,737200,830800,966482
CMS,"Cms Energy Corp",64.81,65.28,64.46,64.77,64.88,64.79,62.33,65.65,58.63,1085118,936100,1103000,1464195
CNC,"Centene Corp",66,66.21,64.12,65.86,65.24,65.19,60.5,66.85,53.6,2569469,2465000,2551060,3786023
CNP,"Centerpoint Energy Inc",20.94,20.85,20.59,20.92,20.85,20.79,19.93,21.82,18.6,2424100,2189900,3809180,4598486
COF,"Capital One Financial Corp",79.16,79.22,77.58,78.55,79.69,78.66,74.95,81.67,66.46,3590349,2878700,2418600,2715650
COG,"Cabot Oil & Gas Corp",19.39,19.1,19.27,19.47,19.16,19.19,18.53,19.87,16.41,2906000,3409300,4282740,4600041
COO,"Cooper Companies",355.76,353.7,350,353.42,356,353.87,344.38,364.05,326.75,145106,163400,162620,216968
COP,Conocophillips,34.81,33.77,33.87,35.4,34.04,34.53,34.19,36.45,31.45,8313100,8637900,8421780,8081291
COST,"Costco Wholesale",380.5,381.54,376.46,376.58,382.89,378.34,357.79,384.87,331.2,2460400,1699300,2139080,2775550
CPB,"Campbell Soup Company",49.4,48.94,49.11,49.16,49.49,49.46,47.86,49.88,44.89,1430220,1168700,1356780,2421905
CPRT,"Copart Inc",117.86,117.18,114.91,117.64,116.39,115.8,108.99,118.56,100.07,860100,730900,925640,1153209
CRM,"Salesforce.com Inc",259.24,258.55,258.11,257.72,270,261.83,251.96,270.16,233.63,3098043,5262300,4304700,4801927
CSCO,"Cisco Systems Inc",39.88,40.16,39.47,39.97,39.85,39.89,39.28,40.61,37.6,21295100,15456899,19878400,23418846
CSX,"CSX Corp",80.95,80.11,79.56,81.03,79.46,80.47,78.38,81.34,75.38,5290300,2739600,4236780,3970650
CTAS,"Cintas Corp",350,348.4,346.75,348.38,355.11,351.19,334.2,358.68,307.65,336700,335800,423600,504441
CTLT,"Catalent Inc",92.94,92.4,91.45,92.2,94.93,92.61,88.08,96.38,79.65,488845,595100,773460,2337854
CTSH,"Cognizant Tech Sol",74.34,73.36,73.25,73.72,73.22,73.96,70.48,75.32,65.58,2533100,2637200,3302900,3329486
CTVA,"Corteva Inc",34.33,34.08,33.18,33.99,33.79,33.82,30.38,34.41,27.18,2802175,3035100,3714860,4741391
CTXS,"Citrix Systems Inc",139.16,138.26,140.15,138.91,142.47,140.91,137.01,146.94,131.41,1134500,869600,1286400,1112104
CVS,"CVS Corp",59.37,59.59,58.08,59.32,58.94,58.51,58.58,60.8,56.11,6822607,8208601,6546360,7059559
